,0,1,2,3,4,5,6,7,8,9
0,1984,1985,1984,1985,1985,1994,1985,1984,1985,1988
1,1985,1985,1985,,,1994,,,,1993
2,1985,1985,1985,,,1985,,,,1995
3,,1985,1985,,,,,,,1995
4,,,1995,,,,,,,1990
5,,,,,,,,,,1996
6,,,,,,,,,,1995
7,,,,,,,,,,1995
8,,,,,,,,,,1988
9,,,,,,,,,,1995
10,,,,,,,,,,1993
11,,,,,,,,,,1996
12,,,,,,,,,,1995
13,,,,,,,,,,1995
14,,,,,,,,,,1999
15,,,,,,,,,,1993
16,,,,,,,,,,1996
17,,,,,,,,,,1990
18,,,,,,,,,,1993
19,,,,,,,,,,1996
20,,,,,,,,,,1995
21,,,,,,,,,,1995
22,,,,,,,,,,1995
